id,band_gap
mp-1203761,0.0073
mp-1204412,2.5052
mp-1205136,0.5269
mp-1205352,1.5791
mp-1206023,0
mp-1206289,0
mp-1206822,0
mp-1207866,0.969
mp-1208488,0
mp-1200013,3.78649999999999
mp-1208854,0
mp-1209558,0
mp-1209074,0
mp-1209635,0
mp-1209760,0.1488
mp-1210724,0.375099999999999
mp-1211143,0.013
mp-1210049,0
mp-1211797,0
mp-1212104,0
mp-1212861,0
mp-1213609,0
mp-1213844,0
mp-1213958,0
mp-1213924,1.0446
mp-1214336,0
mp-1214169,0
mp-1215436,0
mp-1215556,0
mp-1214508,2.5833
mp-1216100,5.0538
mp-1216753,0
mp-1216846,0
mp-1217358,0
mp-1217225,0
mp-1217550,0
mp-1217503,0
mp-1217948,2.56869999999999
mp-1219940,0
mp-1220395,2.30119999999999
mp-1220772,3.66839999999999
mp-1218615,5.3125
mp-1220950,0
mp-1220909,2.9275
mp-1220989,2.1512
mp-1221355,2.7868
mp-1221568,0
mp-1221584,0
mp-1221701,0
mp-1221334,0
mp-1222227,0
mp-1222386,6.2081
mp-1222282,0.0641
mp-1222613,0
mp-1222490,0
mp-1222666,0
mp-1223180,2.36609999999999
mp-1222961,3.725
mp-1223353,0
mp-1223443,1.4373
mp-1223708,0
mp-1223786,0
mp-1223957,0
mp-1224628,0.176699999999999
mp-1224900,0
mp-1223330,0
mp-1225117,0.4765
mp-1225533,0
mp-1225550,0.9462
mp-1225595,0
mp-1225806,0
mp-1226081,0
mp-1227151,0
mp-1228150,2.667
mp-1228238,0
mp-1227523,0
mp-1228661,0
mp-1228818,0
mp-1228999,0
mp-1244987,0
mp-1245056,3.28859999999999
mp-1245344,0
mp-1245349,0.016
mp-1245892,0
mp-1245915,2.94219999999999
mp-1245906,0.545599999999999
mp-1246598,2.1703
mp-1247177,0
mp-1247293,0
mp-1247386,1.2186
mp-1247514,0
mp-1251647,0.6082
mp-12829,6.4052
mp-1249626,4.725
mp-13018,0
mp-14100,0.8948
mp-1411,0
mp-13109,3.9894
mp-1451,0
mp-15827,0
mp-1585,0
mp-17605,5.3166
