id,ehull
mp-10615,0.033
mp-10616,0.0
mp-10618,0.081
mp-1062030,0.004
mp-10620,0.009
mp-10621,0.0
mp-1062676,0.009
mp-1062711,0.1
mp-10627,0.3
mp-1063495,1.335
mp-1063670,0.051
mp-1064492,0.21
mp-1064497,0.051
mp-10644,0.0
mp-10648,0.143
mp-1064979,0.118
mp-1065250,0.348
mp-10653,0.242
mp-1065405,0.327
mp-1065514,0.0
mp-1066131,0.0
mp-10662,0.007
mp-1066400,0.002
mp-1066781,0.0
mp-1066791,0.0
mp-1066989,0.052
mp-1067154,0.007
mp-1067280,0.0
mp-1067619,0.476
mp-1067627,0.059
mp-1067744,0.0
mp-1067933,0.058
mp-1068011,0.699
mp-10680,0.201
mp-1068340,0.0
mp-1068577,0.082
mp-1068742,0.048
mp-1068813,0.087
mp-1068850,0.415
mp-1068941,0.0
mp-1068977,0.022
mp-10694,0.0
mp-1069533,0.021
mp-1069538,0.025
mp-10695,0.0
mp-1069706,0.0
mp-1069771,0.0
mp-1069819,0.31
mp-1070099,0.0
mp-1070356,0.0
mp-1070375,0.004
mp-1070456,0.049
mp-1070498,0.0
mp-1070599,0.0
mp-1070852,0.0
mp-1070,0.001
mp-1071032,0.052
mp-1071269,0.067
mp-1071288,0.088
mp-1071319,0.152
mp-1071541,0.0
mp-1071625,0.357
mp-1071820,0.437
mp-1071955,0.0
mp-1071956,0.022
mp-1072104,0.006
mp-1072114,0.0
mp-1072193,0.0
mp-1072208,0.0
mp-1072399,0.0
mp-1072429,0.0
mp-1072544,0.222
mp-10731,0.006
mp-10748,0.0
mp-1075911,0.083
mp-10759,0.008
mp-10760,0.019
mp-1076534,0.056
mp-1076633,0.217
mp-1076638,0.357
mp-1077021,0.142
mp-1077078,0.125
mp-1077081,0.127
mp-1077098,0.018
mp-1077107,0.002
mp-1077232,0.031
mp-1077266,0.049
mp-1077316,0.45
mp-1077346,0.724
mp-1077361,0.0
mp-1077383,0.0
mp-1077506,0.302
mp-1077553,0.0
mp-1077595,0.707
mp-10776,0.0
mp-1077779,0.009
mp-1077811,0.031
mp-1077823,0.574
mp-1077866,0.02
mp-10778,0.0
mp-1077901,0.0
mp-1077904,0.0
mp-1077906,0.031
mp-1077942,0.007
mp-10779,0.0
mp-1078015,0.126
mp-1078049,0.009
mp-1078085,0.0
mp-10780,0.0
mp-1078181,0.004
mp-1078186,0.0
mp-1078191,0.0
mp-1078195,0.0
mp-1078197,0.055
mp-1078205,0.016
mp-1078217,0.01
mp-1078231,0.0
mp-1078233,0.079
mp-1078239,0.01
mp-1078250,0.001
mp-1078258,0.0
mp-1078259,0.004
mp-1078265,0.0
mp-1078292,0.0
mp-1078295,0.0
mp-1078298,0.0
mp-10782,0.0
mp-1078300,0.0
mp-1078331,0.055
mp-1078366,0.0
mp-1078379,0.275
mp-1078391,0.001
mp-1078392,0.022
mp-1078394,0.0
mp-10783,0.0
mp-1078410,0.0
mp-1078415,0.097
mp-1078419,0.0
mp-1078443,0.0
mp-1078457,0.005
mp-1078469,0.034
mp-1078470,0.055
mp-1078498,0.0
mp-10784,0.0
mp-1078500,0.031
mp-1078520,0.044
mp-1078541,0.638
mp-1078554,0.049
mp-1078562,0.005
mp-1078595,0.0
mp-1078597,0.008
mp-10785,0.0
mp-1078600,0.0
mp-1078621,0.018
mp-1078631,0.009
mp-1078636,0.0
mp-1078643,0.1
mp-1078644,0.125
mp-1078667,0.15
mp-1078671,0.021
mp-1078676,0.002
mp-1078677,0.0
mp-1078693,0.0
mp-1078696,0.083
mp-1078709,0.0
mp-1078726,0.0
mp-1078746,0.0
mp-1078748,0.005
mp-1078750,0.064
mp-1078751,0.0
